observation_date,MKTGDPHKA646NWDB
1960-01-01,1320796651.69457
1961-01-01,1383681651.13776
1962-01-01,1612346412.26475
1963-01-01,1935298266.45384
1964-01-01,2206466461.26434
1965-01-01,2435078534.03141
1966-01-01,2489845016.64894
1967-01-01,2692474989.12571
1968-01-01,2716964388.42418
1969-01-01,3189740055.13982
1970-01-01,3800766535.62088
1971-01-01,4476001946.01486
1972-01-01,5710090213.15035
1973-01-01,8030117555.62033
1974-01-01,9388695366.84578
1975-01-01,10048089558.06360
1976-01-01,12876366008.80770
1977-01-01,15719433719.43370
1978-01-01,18315136409.14270
1979-01-01,22526184533.17000
1980-01-01,28861857810.65150
1981-01-01,31055226088.69430
1982-01-01,32291215843.64330
1983-01-01,29907227184.17900
1984-01-01,33511383985.67410
1985-01-01,35699772165.70930
1986-01-01,41075396884.89520
1987-01-01,50622896162.60060
1988-01-01,59707404560.59440
1989-01-01,68790219177.97330
1990-01-01,76928784620.81580
1991-01-01,88959997899.92931
1992-01-01,104272507639.28200
1993-01-01,120354212475.00000
1994-01-01,135811771026.33000
1995-01-01,144652295363.66699
1996-01-01,159718183550.73401
1997-01-01,177353174849.71399
1998-01-01,168885443660.07199
1999-01-01,165768095391.55701
2000-01-01,171668891194.34900
2001-01-01,169404327616.60501
2002-01-01,166348866131.02802
2003-01-01,161385558801.81100
2004-01-01,169099768875.19299
2005-01-01,181569311742.21301
2006-01-01,193535442896.36499
2007-01-01,211596944503.79999
2008-01-01,219278749139.73401
2009-01-01,214047795659.04501
2010-01-01,228638668727.29099
2011-01-01,248513617677.28699
2012-01-01,262628865879.69699
2013-01-01,275696879834.96600
2014-01-01,291459995978.89301
2015-01-01,309385622601.34802
2016-01-01,320860317562.56201
2017-01-01,341273289534.46600
2018-01-01,361731070995.72601
2019-01-01,363074545072.38898
2020-01-01,344943149590.05798
2021-01-01,368954169748.81799
2022-01-01,358681066274.46899
2023-01-01,380812234827.83197
